,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
436,Shuichi Watanabe,Health Care,Wholesalers: Health Care,Tokyo,https://www.medipal.co.jp,17,"15,623",Medipal Holdings
437,Masayoshi Matsumoto,Motor Vehicles & Parts,Motor Vehicles and Parts,"Osaka, Japan",https://www.global-sei.com,25,"272,796",Sumitomo Electric Industries
438,Chen Feihu,Energy,Energy,Beijing,https://www.china-cdt.com,10,"93,800",China Datang
439,Shang Jiqiang,Wholesalers,Trading,"Urumqi, China",https://www.guanghui.com,3,"82,175",Xinjiang Guanghui Industry Investment
440,Tomomi Nakamura,Motor Vehicles & Parts,Motor Vehicles and Parts,Tokyo,https://www.subaru.co.jp,17,"34,200",Subaru
441,Gao Dengbang,Materials,"Building Materials, Glass","Wuhu, China",https://www.chinaconch.com,1,"55,380",Anhui Conch Group
442,Zhao Ziliang,Financials,"Insurance: Life, Health (Mutual)",Beijing,https://www.hualife.cc,1,"500,000",Huaxia Life Insurance
443,Manuel Bartlett Díaz,Energy,Utilities,Mexico City,https://www.cfe.gob.mx,12,"91,369",CFE
444,Jung-Suk Koh /Young-Ho Lee,Wholesalers,Trading,Seoul,https://www.samsungcnt.com,3,"17,274",Samsung C&T
445,Alain Dehaze,Business Services,Diversified Outsourcing Services,Zurich,https://www.adeccogroup.com,21,"34,000",Adecco Group
