id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
78,Chey Tae-won,96,"December 3, 1960 (age 59 years), Suwon-si, South Korea",South Korea,"The University of Chicago, Korea University",1960.0,2017.0
79,Greg Garland,97,,,Texas A&M University,,2017.0
80,Alex Gorsky,98,"May 24, 1960 (age 59 years), Kansas City, KS",United States,"Wharton School of the University of Pennsylvania, United States Military Academy",1960.0,2017.0
81,David S. Taylor,99,"April 20, 1958 (age 62 years), Charlotte, NC",United States,"Duke University (1980), West Charlotte High School",1958.0,2017.0
82,Megan Brennan,100,"1961 (age 59 years), Pottsville, PA",United States,"MIT Sloan School of Management, Immaculata University",1961.0,2017.0
83,Li Qingkui,101,"March 1956 (age 64 years), Shandong, China",China,North China Electric Power University,1956.0,2017.0
84,François Pérol,105,"November 6, 1963 (age 56 years), Le Creusot, France",France,"HEC Paris, École Nationale d'Administration, Sciences Po""",1963.0,2017.0
85,Kaz Hirai,106,"December 22, 1960 (age 59 years), Tokyo, Japan",Japan,"Valley Park Middle School, International Christian University",1960.0,2017.0
86,Joseph W. Gorder,107,May 1957 (age 62 years),,"University of Missouri-St. Louis, Our Lady of the Lake School of Business",1957.0,2017.0
87,Brian Cornell,108,"1958 (age 62 years), Queens, New York, NY",United States,"UCLA Anderson School of Management, University of California, Los Angeles",1958.0,2017.0
88,Frédéric Oudéa,109,"July 3, 1963 (age 56 years), Paris, France",France,"Sciences Po, École Nationale d'Administration, École Polytechnique""",1963.0,2017.0
89,Kazuhiro Tsuga,111,"November 14, 1956 (age 63 years), Osaka, Osaka, Japan",Japan,"University of California, Santa Barbara (1986), Osaka University (1979)",1956.0,2017.0
90,Mario Greco,113,"June 16, 1959 (age 60 years), Naples, Italy",Italy,Sapienza University of Rome,1959.0,2017.0
91,Candido Botelho Bracher,114,"December 5, 1958 (age 61 years), State of São Paulo, Brazil",Brazil,"Escola de Administração de Empresas de São Paulo (1980), Santa Cruz School",1958.0,2017.0
92,Frank Appel,118,"July 29, 1961 (age 58 years), Hamburg, Germany",Germany,"ETH Zürich (2001), Ludwig Maximilian University of Munich",1961.0,2017.0
93,Donald H. Layton,119,1950 (age 70 years),,Massachusetts Institute of Technology,1950.0,2017.0
94,António Horta-Osório,122,"January 28, 1964 (age 56 years), Lisbon, Portugal",Portugal,"INSEAD Europe Campus, Catholic University of Portugal",1964.0,2017.0
95,Robert Niblock,123,"1963 (age 57 years), Florida",Florida,UNC Charlotte (1984),1963.0,2017.0
96,Olaf Koch,124,,,,,2017.0
97,Michael S. Dell,125,"February 23, 1965 (age 55 years), Houston, TX",United States,"Memorial Senior High School, The University of Texas at Austin, Herod Elementary School",1965.0,2017.0
98,Steven A. Kandarian,129,"West Hartford, CT",United States,"Georgetown University Law Center, MORE",,2017.0
99,Mark Bertolini,131,"1956 (age 64 years), Detroit, MI",United States,"Wayne State University, Cornell University",1956.0,2017.0
100,Indra Nooyi,132,"October 28, 1955 (age 64 years), Chennai, India",India,"Yale School of Management (1978–1980), MORE",1955.0,2017.0
101,Claudio Descalzi,133,"1955 (age 65 years), Milan, Italy",Italy,University of Milan,1955.0,2017.0
102,Juan Ricardo Luciano,135,"1962 (age 58 years), Argentina",Argentina,Instituto Tecnológico de Buenos Aires,1962.0,2017.0
103,David P. Abney,139,"1956 (age 64 years), Greenwood, MS",United States,"Delta State University, Pillow Academy",1956.0,2017.0
