,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,country/territory,year
146,147,Marubeni,"$66,753.50 ",-1.90%,"$2,082.50 ","$61,526.00 ",9.20%,"46,711",-17,Japan,2019
147,148,United Technologies,"$66,501.00 ",11.10%,"$5,269.00 ","$134,211.00 ",15.80%,"240,200",11,U.S.,2019
148,149,China Baowu Steel Group,"$66,310.00 ",12.50%,"$2,168.20 ","$103,676.10 ",721.30%,"161,399",13,China,2019
149,150,Bank of Communications,"$65,644.80 ",13.70%,"$11,131.30 ","$1,388,230.00 ",7.10%,"92,714",18,China,2019
150,151,Aviation Industry Corp. of China,"$65,534.40 ",10.60%,$695 ,"$138,082.70 ",91.40%,"446,613",10,China,2019
151,152,FedEx,"$65,450.00 ",8.50%,"$4,572.00 ","$52,330.00 ",52.60%,"359,530",3,U.S.,2019
152,153,Dai-ichi Life Holdings,"$64,794.90 ",2%,"$2,029.60 ","$505,478.10 ",-38.20%,"62,938",-8,Japan,2019
153,154,PepsiCo,"$64,661.00 ",1.80%,"$12,515.00 ","$77,648.00 ",157.70%,"267,000",-10,U.S.,2019
154,155,Archer Daniels Midland,"$64,341.00 ",5.80%,"$1,810.00 ","$40,833.00 ",13.50%,"31,600",-3,U.S.,2019
155,156,Prudential Financial,"$62,992.00 ",5.50%,"$4,074.00 ","$815,078.00 ",-48.20%,"50,492",4,U.S.,2019
156,157,Mitsui,"$62,751.40 ",42.10%,"$3,735.90 ","$107,940.50 ",-1.10%,"43,993",89,Japan,2019
157,158,Petronas,"$62,230.60 ",19.60%,"$11,868.30 ","$154,071.20 ",35.50%,"48,001",33,Malaysia,2019
158,159,Seven & I Holdings,"$61,486.50 ",13.40%,"$1,838.00 ","$52,069.20 ",13%,"58,165",20,Japan,2019
159,160,Oil & Natural Gas,"$61,420.40 ",19.90%,"$4,360.60 ","$71,563.40 ",27.20%,"43,743",37,India,2019
160,161,PowerChina,"$61,224.00 ",13.70%,$803.80 ,"$123,815.20 ",-15.10%,"185,269",21,China,2019
161,162,Toyota Tsusho,"$60,994.30 ",4.10%,"$1,196.10 ","$40,132.50 ",1.80%,"58,565",3,Japan,2019
162,163,Roche Group,"$60,846.20 ",7.40%,"$10,738.10 ","$79,680.30 ",22.40%,"94,442",6,Switzerland,2019
163,164,Auchan Holding,"$60,749.20 ",1.20%,"($1,351.30)","$41,073.70 ",-535.90%,"340,577",-8,France,2019
164,165,Albertsons Cos.,"$60,534.50 ",1%,$131.10 ,"$20,776.60 ",183.20%,"267,000",-8,U.S.,2019
165,166,Mitsubishi UFJ Financial Group,"$60,405.30 ",10.30%,"$7,871.00 ","$2,811,411.40 ",-11.90%,"119,390",11,Japan,2019
166,167,Unilever,"$60,167.30 ",-0.60%,"$11,080.60 ","$67,958.20 ",62.40%,"154,848",-14,Britain/Neth.,2019
167,168,Centene,"$60,116.00 ",23.80%,$900 ,"$30,901.00 ",8.70%,"47,300",42,U.S.,2019
168,169,Sinopharm,"$59,980.20 ",15.70%,$884.40 ,"$49,823.40 ",28.20%,"128,600",25,China,2019
169,170,Walt Disney,"$59,434.00 ",7.80%,"$12,598.00 ","$98,598.00 ",40.30%,"201,000",6,U.S.,2019
170,171,POSCO,"$59,223.20 ",11.20%,"$1,556.10 ","$70,607.70 ",-36.20%,"33,784",13,South Korea,2019
171,172,Sysco,"$58,727.30 ",6.10%,"$1,430.80 ","$18,070.40 ",25.20%,"67,000",2,U.S.,2019
172,173,HP,"$58,472.00 ",12.30%,"$5,327.00 ","$34,622.00 ",110.90%,"55,000",17,U.S.,2019
173,174,Soci??t?? G??n??rale,"$58,390.00 ",-16.50%,"$4,560.20 ","$1,496,676.20 ",44.20%,"140,250",-53,France,2019
174,175,Pertamina,"$57,933.60 ",34.90%,"$2,526.80 ","$64,718.50 ",-0.50%,"31,569",78,Indonesia,2019
175,176,Telef??nica,"$57,465.90 ",-2%,"$3,931.10 ","$130,355.70 ",11.30%,"120,138",-12,Spain,2019
176,177,Country Garden Holdings,"$57,308.70 ",70.70%,"$5,233.50 ","$237,367.50 ",35.70%,"131,387",176,China,2019
177,178,Tokyo Electric Power,"$57,167.40 ",8.30%,"$2,096.10 ","$115,274.20 ",-27%,"41,086",8,Japan,2019
178,179,Humana,"$56,912.00 ",5.80%,"$1,683.00 ","$25,413.00 ",-31.30%,"41,600",4,U.S.,2019
179,180,Brookfield Asset Management,"$56,771.00 ",39.20%,"$3,584.00 ","$256,281.00 ",145.10%,"100,750",92,Canada,2019
180,181,Hengli Group,"$56,198.60 ",23.30%,$582.90 ,"$22,400.30 ",-42.60%,"81,350",54,China,2019
181,182,Alibaba Group Holding,"$56,147.20 ",48.70%,"$13,094.40 ","$143,608.20 ",35.40%,"101,958",118,China,2019
182,183,RWE,"$56,016.70 ",17.10%,$465 ,"$91,563.40 ",-78.80%,"58,441",31,Germany,2019
183,184,Facebook,"$55,838.00 ",37.40%,"$22,112.00 ","$97,334.00 ",38.80%,"35,587",90,U.S.,2019
184,185,LG Electronics,"$55,757.40 ",2.70%,"$1,127.20 ","$39,731.50 ",-26.20%,"72,600",-7,South Korea,2019
185,186,Nippon Steel Corporation,"$55,720.20 ",8.10%,"$2,265.30 ","$72,734.50 ",38.80%,"115,878",12,Japan,2019
186,187,Christian Dior,"$55,262.60 ",12.30%,"$3,037.80 ","$88,320.80 ",20.30%,"141,914",21,France,2019
187,188,China Merchants Bank,"$55,063.50 ",15.20%,"$12,179.00 ","$982,526.00 ",17.30%,"74,590",25,China,2019
188,189,Guangzhou Automobile Industry Group,"$55,037.20 ",9.40%,$885.50 ,"$42,549.70 ",-10.50%,"113,474",13,China,2019
189,190,Caterpillar,"$54,722.00 ",20.40%,"$6,147.00 ","$78,509.00 ",715.30%,"104,000",48,U.S.,2019
190,191,Ita?? Unibanco Holding,"$54,662.50 ",-17.50%,"$6,814.80 ","$400,690.80 ",-9%,"100,335",-58,Brazil,2019
191,192,Anheuser-Busch InBev,"$54,619.00 ",-3.20%,"$4,368.00 ","$232,103.00 ",-45.40%,"172,603",-22,Belgium,2019
192,193,Korea Electric Power,"$54,567.90 ",4%,"($1,194.90)","$166,038.40 ",-204%,"46,377",-5,South Korea,2019
193,194,Energy Transfer,"$54,436.00 ",14.60%,"$1,694.00 ","$88,246.00 ",77.60%,"11,768",23,U.S.,2019
194,195,Wesfarmers,"$53,985.30 ",4.60%,$927.40 ,"$27,282.40 ",-57.20%,"217,000",-,Australia,2019
195,196,Am??rica M??vil,"$53,977.60 ",-0.10%,"$2,733.00 ","$72,580.00 ",76.30%,"194,431",-16,Mexico,2019
196,197,Lockheed Martin,"$53,762.00 ",5.30%,"$5,046.00 ","$44,876.00 ",152%,"105,000",3,U.S.,2019
197,198,Pfizer,"$53,647.00 ",2.10%,"$11,153.00 ","$159,422.00 ",-47.70%,"92,400",-11,U.S.,2019
198,199,China Pacific Insurance (Group),"$53,572.10 ",13.20%,"$2,724.10 ","$194,584.50 ",25.60%,"107,741",21,China,2019
199,200,Repsol,"$53,176.00 ",27%,"$2,762.80 ","$69,469.30 ",15.60%,"22,735",62,Spain,2019
200,201,Novartis,"$53,166.00 ",6%,"$12,611.00 ","$145,563.00 ",63.70%,"125,161",2,Switzerland,2019
201,202,Greenland Holding Group,"$52,720.90 ",22.70%,"$1,719.60 ","$150,974.50 ",28.60%,"39,091",50,China,2019
202,203,China National Building Material Group,"$52,610.60 ",17.70%,$69.40 ,"$84,608.20 ",356.30%,"207,958",40,China,2019
203,204,Goldman Sachs Group,"$52,528.00 ",24.30%,"$10,459.00 ","$931,796.00 ",144%,"36,600",55,U.S.,2019
204,205,Continental,"$52,404.70 ",5.60%,"$3,419.30 ","$46,229.10 ",1.60%,"243,226",1,Germany,2019
205,206,Vinci,"$52,345.20 ",13.10%,"$3,520.40 ","$86,133.10 ",13.70%,"211,233",20,France,2019
206,207,Finatis,"$52,272.00 ",1.30%,($208.90),"$45,172.50 ",-,"218,923",-11,France,2019
207,208,Deutsche Bahn,"$52,004.10 ",8.10%,$623.10 ,"$66,896.40 ",-25.80%,"318,528",3,Germany,2019
208,209,Sumitomo Mitsui Financial Group,"$51,728.00 ",-0.60%,"$6,554.10 ","$1,840,238.10 ",-1.10%,"86,659",-17,Japan,2019
209,210,Alimentation Couche-Tard,"$51,394.40 ",35.60%,"$1,673.60 ","$23,140.60 ",38.40%,"130,000",89,Canada,2019
210,211,Shandong Energy Group,"$51,245.60 ",12.30%,$573 ,"$43,756.60 ",17.10%,"160,064",23,China,2019
