id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
436,Osamu Suzuki,Motor Vehicles and Parts,Motor Vehicles & Parts,"Hamamatsu, Japan",http://www.globalsuzuki.com,21,Suzuki Motor,2015
437,Lei Fanpei,Aerospace and Defense,Aerospace & Defense,"Beijing, China",http://www.spacechina.com,1,China Aerospace Science & Technology,2015
438,Alan D. Schnitzer,Insurance: Property and Casualty (Stock),Financials,"New York, NY",http://www.travelers.com,12,Travelers,2015
439,Nasser Al-Mahasher,Petroleum Refining,Energy,"Seoul, South Korea",http://www.s-oil.com,6,S-Oil,2015
440,Mark Cutifani,"Mining, Crude-Oil Production",Energy,"London, Britain",http://www.angloamerican.com,16,Anglo American,2015
441,Chi Hun Choi,Trading,Wholesalers,"Seoul, South Korea",http://www.samsungcnt.com,17,Samsung C&T,2015
442,Yasumori Ihara,Motor Vehicles and Parts,Motor Vehicles & Parts,"Kariya, Japan",http://www.aisin.com,14,Aisin Seiki,2015
443,William M. Walsh,Airlines,Transportation,"Hounslow, Britain",http://www.iairgroup.com,18,International Airlines Group,2015
444,Nobuhiro Endo,Information Technology Services,Technology,"Tokyo, Japan",http://www.nec.com,21,NEC,2015
445,Lee Won-Joon,General Merchandisers,Retailing,"Seoul, South Korea",http://www.lotteshopping.com,2,Lotte Shopping,2015
446,Alain Dehaze,Temporary Help,"Hotels, Resturants & Leisure","Glattbrugg, Switzerland",http://www.adecco.com,17,Adecco Group,2015
447,John T. Standley,Food and Drug Stores,Food & Drug Stores,"Camp Hill, PA",http://www.riteaid.com,17,Rite Aid,2015
448,Steven M. Mollenkopf,Network and Other Communications Equipment,Technology,"San Diego, CA",http://www.qualcomm.com,2,Qualcomm,2015
