,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
171,"$59,223.20 ","$1,556.10 ","$70,607.70 ","$38,832.40 ",2.60%,2.20%,4%,POSCO,2019
172,"$58,727.30 ","$1,430.80 ","$18,070.40 ","$2,507.00 ",2.40%,7.90%,57.10%,Sysco,2019
173,"$58,472.00 ","$5,327.00 ","$34,622.00 ",($639),9.10%,15.40%,-,HP,2019
174,"$58,390.00 ","$4,560.20 ","$1,496,676.20 ","$69,752.70 ",7.80%,0.30%,6.50%,Soci??t?? G??n??rale,2019
175,"$57,933.60 ","$2,526.80 ","$64,718.50 ","$27,598.70 ",4.40%,3.90%,9.20%,Pertamina,2019
176,"$57,465.90 ","$3,931.10 ","$130,355.70 ","$20,513.40 ",6.80%,3%,19.20%,Telef??nica,2019
177,"$57,308.70 ","$5,233.50 ","$237,367.50 ","$17,671.90 ",9.10%,2.20%,29.60%,Country Garden Holdings,2019
178,"$57,167.40 ","$2,096.10 ","$115,274.20 ","$26,110.10 ",3.70%,1.80%,8%,Tokyo Electric Power,2019
179,"$56,912.00 ","$1,683.00 ","$25,413.00 ","$10,161.00 ",3%,6.60%,16.60%,Humana,2019
180,"$56,771.00 ","$3,584.00 ","$256,281.00 ","$29,815.00 ",6.30%,1.40%,12%,Brookfield Asset Management,2019
181,"$56,198.60 ",$582.90 ,"$22,400.30 ","$4,077.70 ",1%,2.60%,14.30%,Hengli Group,2019
182,"$56,147.20 ","$13,094.40 ","$143,608.20 ","$73,250.30 ",23.30%,9.10%,17.90%,Alibaba Group Holding,2019
183,"$56,016.70 ",$465 ,"$91,563.40 ","$11,059.70 ",0.80%,0.50%,4.20%,RWE,2019
184,"$55,838.00 ","$22,112.00 ","$97,334.00 ","$84,127.00 ",39.60%,22.70%,26.30%,Facebook,2019
185,"$55,757.40 ","$1,127.20 ","$39,731.50 ","$12,775.20 ",2%,2.80%,8.80%,LG Electronics,2019
186,"$55,720.20 ","$2,265.30 ","$72,734.50 ","$29,193.00 ",4.10%,3.10%,7.80%,Nippon Steel Corporation,2019
187,"$55,262.60 ","$3,037.80 ","$88,320.80 ","$16,276.30 ",5.50%,3.40%,18.70%,Christian Dior,2019
188,"$55,063.50 ","$12,179.00 ","$982,526.00 ","$78,669.00 ",22.10%,1.20%,15.50%,China Merchants Bank,2019
189,"$55,037.20 ",$885.50 ,"$42,549.70 ","$6,205.30 ",1.60%,2.10%,14.30%,Guangzhou Automobile Industry Group,2019
190,"$54,722.00 ","$6,147.00 ","$78,509.00 ","$14,039.00 ",11.20%,7.80%,43.80%,Caterpillar,2019
191,"$54,662.50 ","$6,814.80 ","$400,690.80 ","$35,295.80 ",12.50%,1.70%,19.30%,Ita?? Unibanco Holding,2019
192,"$54,619.00 ","$4,368.00 ","$232,103.00 ","$64,486.00 ",8%,1.90%,6.80%,Anheuser-Busch InBev,2019
193,"$54,567.90 ","($1,194.90)","$166,038.40 ","$62,511.40 ",-2.20%,-0.70%,-1.90%,Korea Electric Power,2019
194,"$54,436.00 ","$1,694.00 ","$88,246.00 ","$20,559.00 ",3.10%,1.90%,8.20%,Energy Transfer,2019
195,"$53,985.30 ",$927.40 ,"$27,282.40 ","$16,808.40 ",1.70%,3.40%,5.50%,Wesfarmers,2019
196,"$53,977.60 ","$2,733.00 ","$72,580.00 ","$9,953.20 ",5.10%,3.80%,27.50%,Am??rica M??vil,2019
197,"$53,762.00 ","$5,046.00 ","$44,876.00 ","$1,394.00 ",9.40%,11.20%,362%,Lockheed Martin,2019
198,"$53,647.00 ","$11,153.00 ","$159,422.00 ","$63,407.00 ",20.80%,7%,17.60%,Pfizer,2019
