,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
161,"$60,994.30","$1,196.10","$40,132.50","$10,805.30",2%,3%,11.1%,Toyota Tsusho
162,"$60,846.20","$10,738.10","$79,680.30","$28,031.30",17.6%,13.5%,38.3%,Roche Group
163,"$60,749.20","$-1,351.30","$41,073.70","$9,074.30",-2.2%,-3.3%,-14.9%,Auchan Holding
164,"$60,534.50",$131.1,"$20,776.60","$1,450.70",0.2%,0.6%,9%,Albertsons Cos.
165,"$60,405.30","$7,871.00","$2,811,411.40","$120,178.50",13%,0.3%,6.5%,Mitsubishi UFJ Financial Group
166,"$60,167.30","$11,080.60","$67,958.20","$13,226.80",18.4%,16.3%,83.8%,Unilever
167,"$60,116.00",$900,"$30,901.00","$10,917.00",1.5%,2.9%,8.2%,Centene
168,"$59,980.20",$884.4,"$49,823.40","$8,499.20",1.5%,1.8%,10.4%,Sinopharm
169,"$59,434.00","$12,598.00","$98,598.00","$48,773.00",21.2%,12.8%,25.8%,Walt Disney
170,"$59,223.20","$1,556.10","$70,607.70","$38,832.40",2.6%,2.2%,4%,POSCO
171,"$58,727.30","$1,430.80","$18,070.40","$2,507.00",2.4%,7.9%,57.1%,Sysco
172,"$58,472.00","$5,327.00","$34,622.00",$-639,9.1%,15.4%,-,HP
173,"$58,390.00","$4,560.20","$1,496,676.20","$69,752.70",7.8%,0.3%,6.5%,Société Générale
174,"$57,933.60","$2,526.80","$64,718.50","$27,598.70",4.4%,3.9%,9.2%,Pertamina
175,"$57,465.90","$3,931.10","$130,355.70","$20,513.40",6.8%,3%,19.2%,Telefónica
176,"$57,308.70","$5,233.50","$237,367.50","$17,671.90",9.1%,2.2%,29.6%,Country Garden Holdings
177,"$57,167.40","$2,096.10","$115,274.20","$26,110.10",3.7%,1.8%,8%,Tokyo Electric Power
178,"$56,912.00","$1,683.00","$25,413.00","$10,161.00",3%,6.6%,16.6%,Humana
179,"$56,771.00","$3,584.00","$256,281.00","$29,815.00",6.3%,1.4%,12%,Brookfield Asset Management
180,"$56,198.60",$582.9,"$22,400.30","$4,077.70",1%,2.6%,14.3%,Hengli Group
181,"$56,147.20","$13,094.40","$143,608.20","$73,250.30",23.3%,9.1%,17.9%,Alibaba Group Holding
182,"$56,016.70",$465,"$91,563.40","$11,059.70",0.8%,0.5%,4.2%,RWE
183,"$55,838.00","$22,112.00","$97,334.00","$84,127.00",39.6%,22.7%,26.3%,Facebook
